registrikood,tegevusala,alguskuupaev,loppkuupaev,staatus,allikas
14978382,Toitlustamine,06.08.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
90009938,Toitlustamine,06.08.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
17259624,Hulgikaubandus,06.08.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
17288465,Töövahendus,05.08.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
16865073,Toitlustamine,05.08.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
17005763,Toitlustamine,05.08.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
17226576,Toitlustamine,04.08.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
14851997,Jaekaubandus,04.08.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
16582317,Jaekaubandus,03.08.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
16859003,Toitlustamine,03.08.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
10318690,Toitlustamine,03.08.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
17293360,Jaekaubandus,01.08.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
17290083,Toitlustamine,01.08.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
17259624,Toitlustamine,01.08.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
12021496,Toitlustamine,01.08.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
17238065,Toitlustamine,01.08.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
10093971,Kaubandusliku loterii korraldamine,01.08.2025,31.10.2025,Jah,MTR_2025-10-31.csv
16383026,Toitlustamine,31.07.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
14832218,Jaekaubandus,31.07.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
14873111,Renditööjőu vahendamine,31.07.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
17146185,Toitlustamine,31.07.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
14945885,Toitlustamine,31.07.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
17270927,Renditööjőu vahendamine,31.07.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
16578304,Toitlustamine,30.07.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
12735051,Jaekaubandus,30.07.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
12026275,Töövahendus,29.07.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
11095067,Töövahendus,29.07.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
80229700,Jaekaubandus,28.07.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
16855790,Renditööjőu vahendamine,28.07.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
17289521,Renditööjőu vahendamine,28.07.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
16854253,Jaekaubandus,28.07.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
17066026,Elektrienergia müük,28.07.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
12876714,Toitlustamine,26.07.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
17289393,Hulgikaubandus,25.07.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
17238740,Toitlustamine,25.07.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
17289861,Renditööjőu vahendamine,25.07.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
17220823,Renditööjőu vahendamine,25.07.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
17215377,Toitlustamine,24.07.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
16762901,Jaekaubandus,24.07.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
16789633,Toitlustamine,24.07.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
17215093,Toitlustamine,24.07.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
17042126,Renditööjőu vahendamine,24.07.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
16334588,Toitlustamine,23.07.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
16334588,Hulgikaubandus,23.07.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
14041155,Toitlustamine,23.07.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
11528537,Toitlustamine,23.07.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
14781722,Toitlustamine,22.07.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
17142129,Toitlustamine,22.07.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
17280664,Renditööjőu vahendamine,22.07.2025,Tähtajatu,Jah,MTR_2025-10-31.csv
